date,book,chapter,words
2026-06-01,claude-cowork,00-the-work-hidden-in-your-folders,2258
2026-06-01,claude-cowork,01-what-cowork-is-for,2352
2026-06-01,claude-cowork,02-preparing-a-safe-workspace,2610
2026-06-01,claude-cowork,03-connectors-local-files-and-permissions,2791
2026-06-01,claude-cowork,04-the-cowork-task-brief,2991
2026-06-01,claude-cowork,05-plans-approvals-and-redirection,2976
2026-06-01,claude-cowork,06-extracting-data-from-documents,2837
2026-06-01,claude-cowork,07-assembling-reports-and-decks,2755
2026-06-01,claude-cowork,08-organizing-and-renaming-files,3166
2026-06-01,claude-cowork,09-research-packets-and-meeting-notes,2707
2026-06-01,claude-cowork,10-what-not-to-delegate,3005
2026-06-01,claude-cowork,11-building-a-reusable-cowork-workflow,3384
2026-06-01,claude-cowork,12-capstone-the-weekly-operations-packet,3954
